ID,Symposia,Weekday,Date,Time Block,Type,Title of Panel/Grouping,Title of Presentation or Screening,Presentation or Paper URL,Presenter/Moderator A,Presenter/Moderator B,Presenter/Moderator C,Presenter/Moderator D,Presenter/Moderator E,Presenter/Moderator F,Work A,Work B,Work C,Work D,Notes
0124,Orphans III: Listening to Orphan Films,Saturday,"September 27, 2002",9:00am - 10:00am,Screening,,"Greg Pierce (Orgone Cinema and Archive) shows All Personal Sound Movies (1949-63), All Golf Films (c.1973) and more by amatuer Auricon cineaste Fred McCleod (Oakmont, PA)",,Greg Pierce,,,,,,All Personal Sound Movies,All Golf Films,,,
0125,Orphans III: Listening to Orphan Films,Saturday,"September 27, 2002",10:15am - 12:00pm,Panel,Amateur,,,,,,,,,,,,,
0126,Orphans III: Listening to Orphan Films,Saturday,"September 27, 2002",10:15am - 12:00pm,Panel Presentation,Amateur,Superocheros: Mexico's Super8 Film Movement,,Jesse Lerner,,,,,,Luz Externa,,,,presented with a restored soundtrack
0127,Orphans III: Listening to Orphan Films,Saturday,"September 27, 2002",10:15am - 12:00pm,Panel Presentation,Amateur,How to Blow Up 9.5mm and 8mm films,,Russ Suniewick,,,,,,,,,,
0128,Orphans III: Listening to Orphan Films,Saturday,"September 27, 2002",10:15am - 12:00pm,Panel Presentation,Amateur,African-American home movies of the 1950s and 60s,,Steve Davidson,,,,,,,,,,
0129,Orphans '04: On Location: Place and Region in Forgotten Films,Wednesday,"March 24, 2004",8:00 PM,Screening,Local Orphans Make Good,"Dedication of 'Park Row' (Hollywood, 1928)",,Tom Regal,Chip Wilkinson,,,,,Dedication of 'Park Row',,,,Restored by Universal Studios' BluWave Audio and Cineric
0130,Orphans '04: On Location: Place and Region in Forgotten Films,Wednesday,"March 24, 2004",8:00 PM,Screening,Local Orphans Make Good,"Anderson 'Our Gang' (Anderson, SC, 1936)",,Harry Osteen,,,,,,Anderson 'Our Gang',,,,
0131,Orphans '04: On Location: Place and Region in Forgotten Films,Wednesday,"March 24, 2004",8:00 PM,Screening,Local Orphans Make Good,Fox Movietone News: Jenkins Orphanage Band,,Julie Hubbert,Karen Chandler,Jack McCray,,,,Fox Movietone News: Jenkins Orphanage Band,,,,The newsest orphan film on the National Film Registry. Restored by Universal Studios and Film Technology Co.
0132,Orphans '04: On Location: Place and Region in Forgotten Films,Wednesday,"March 24, 2004",8:00 PM,Screening,Local Orphans Make Good,"Martin Luther King on Voting (Kingstree, SC, 1966) WIS-TV newsfilm",,Bobby Donaldson,,,,,,Martin Luther King on Voting,,,,35mm blowup by Monaco Film/Interformat
0133,Orphans '04: On Location: Place and Region in Forgotten Films,Wednesday,"March 24, 2004",8:00 PM,Screening,Local Orphans Make Good,"H. Lee Waters' Movies of Local People (Kannapolis, NC, 1939)",,Tom Water,,,,,,Movies of Local People,,,,Preserved by Colorlab for Duke University Library
0134,Orphans '04: On Location: Place and Region in Forgotten Films,Wednesday,"March 24, 2004",8:00 PM,Screening,Local Orphans Make Good,"Light Is Calling (Hypnotic Pictures, 2003)",,Bill Morrison,,,,,,,,,,
0135,Orphans '04: On Location: Place and Region in Forgotten Films,Thursday,"March 25, 2004",9:00am - 9:30am,Panel ,Introductions,New Years Greetings from Different Nations (1929),,Russ Scheller,,,,,,New Years Greetings from Different Nations,,,,Restored by Summit Film Labs
0136,Orphans '04: On Location: Place and Region in Forgotten Films,Thursday,"March 25, 2004",9:00am - 9:30 am,Panel,Introductions,NYC Street Scenes and Noises (1929),,Jeff Martin,,,,,,NYC Street Scenes and Noises,,,,Presevrved by Cinetech
0137,Orphans '04: On Location: Place and Region in Forgotten Films,Thursday,"March 25, 2004",9:00am - 9:30 am,Panel,Introductions,Round the World Trip MAde by Two Girls (1934),,Dan Streible,Susan Courtney,,,,,Round the World Trip Made by Two Girls,,,,Preserved by Summit Film
0138,Orphans '04: On Location: Place and Region in Forgotten Films,Thursday,"March 25, 2004",9:30am - 11:15am,Panel Presentation,Mapping Landcapres,Orphan Films as Evidence of Lost Landscapes,,Rick Prelinger,,,,,,,,,,
0139,Orphans '04: On Location: Place and Region in Forgotten Films,Thursday,"March 25, 2004",9:30am - 11:15am,Panel Presentation,Mapping Landcapres,"The California Tour: Ambient Films, Abandoned Drive-ins",,Melinda Stone,,,,,,,,,,
0140,Orphans '04: On Location: Place and Region in Forgotten Films,Thursday,"March 25, 2004",9:30am - 11:15am,Panel Presentation,Mapping Landcapres,Satelite to Super 8: Looking at Cabin Field,,Laura Kissel,,,,,,,,,,
0141,Orphans '04: On Location: Place and Region in Forgotten Films,Thursday,"March 25, 2004",11:30am - 12:30pm,Panel Presentation,Keynote,Exilic Filmmakers and 'Accented Cinema',,Hamid Naficy,,,,,,,,,,
0142,Orphans '04: On Location: Place and Region in Forgotten Films,Thursday,"March 25, 2004",2:00pm - 3:45pm,Panel Presentation,Rediscovering the Mitchell & Kenyon FIlms,The Itinerant Film Productions of Mitchell and Kenyon,,Vanessa Toulmin,,,,,,,,,,
0143,Orphans '04: On Location: Place and Region in Forgotten Films,Thursday,"March 25, 2004",2:00pm - 3:45pm,Panel Presentation,Rediscovering the Mitchell & Kenyon FIlms,Factory Gate Films and British Showman Cinema,,Tom Gunning,,,,,,,,,,
0144,Orphans '04: On Location: Place and Region in Forgotten Films,Thursday,"March 25, 2004",2:00pm - 3:45pm,Panel Presentation,Rediscovering the Mitchell & Kenyon FIlms,Preserving Early Nitrate,,William O'Farrell,,,,,,,,,,
0145,Orphans '04: On Location: Place and Region in Forgotten Films,Thursday,"March 25, 2004",4:00pm - 5:45pm,Panel Presentation,Itinerants of the 1930s and 40s,"Movies on the Road: Robert Southard and Traveling Film Exhibition, 1933-1949",,Gregory A. Waller,,,,,,,,,,
0146,Orphans '04: On Location: Place and Region in Forgotten Films,Thursday,"March 25, 2004",4:00pm - 5:45pm,Panel Presentation,Itinerants of the 1930s and 40s,"See Yourself on the Screen: Local Stars, Itinerant Films and Complicating FIlm History",,Dwight Swanson,Caroline Frick,,,,,,,,,
0147,Orphans '04: On Location: Place and Region in Forgotten Films,Thursday,"March 25, 2004",4:00pm - 5:45pm,Panel Presentation,Itinerants of the 1930s and 40s,H. Lee Waters' Movies of Local People: New 16mm Prints,,Karen Glynn ,Russ Suniewick,,,,,,,,,
0148,Orphans '04: On Location: Place and Region in Forgotten Films,Thursday,"March 25, 2004",8:15 PM,Screening,"Serpents, Cosmonauts and Juke Joints",,,Brian Graney,Bradley reeves,Bjorn Sorenssen,Stephen Parr,Elena Rossi-Snook,,,,,,"Films from Archives of Appalachia (Johnson City, TN), North West Film Archive (Manchester, UK), the Tyler, Texas Black Film Collection, Southern Methodist University (Dallas, TX), New Mexico State Records Center and Archives (Santa Fe, NM), the municipal cinemas of Trondheim (Norwegian National Library, Mo i Rana), Scottish Screen Archive (Glasgow), New York Public Library, and San Francisco Media Archive. Jeff Lambert (National Film Preservation Foundation), recognizing the creators of The Film Preservation Guide: The Basics for Archives, Libraries, and Museums. "
0149,Orphans '04: On Location: Place and Region in Forgotten Films,Friday,"March 26, 2004",9:00am - 10:45am,Screening,Hollywood's Industrial Spaces,Building the Hollywood Sign (1923),,,,,,,,,,,,Print by CIneric made possible by the Academy FIlm Archive
0150,Orphans '04: On Location: Place and Region in Forgotten Films,Friday,"March 26, 2004",9:00am - 10:45am,Panel Presentation,Hollywood's Industrial Spaces,Invisible Inscriptions: Mapping Ida Lupino's Television Work,,Amelie Hastie,,,,,,,,,,
0151,Orphans '04: On Location: Place and Region in Forgotten Films,Friday,"March 26, 2004",9:00am - 10:45am,Panel Presentation,Hollywood's Industrial Spaces,The Space of the Screen Test,,Julia Zay,Irene Gustafson,,,,,,,,,
0152,Orphans '04: On Location: Place and Region in Forgotten Films,Friday,"March 26, 2004",9:00am - 10:45am,Panel Presentation,Hollywood's Industrial Spaces,"The Nature of the Beast: Horror of the Blood Monsters, Tagani and the Politics of Consumption",,Sophia Siddique,,,,,,,,,,
0153,Orphans '04: On Location: Place and Region in Forgotten Films,Friday,"March 26, 2004",11:00am - 12:45pm,Panel Presentation,Race & Space,False memory Syndrome? Space in the Amateur Films of French Colonialism vs. Contemporary Francophone African Film,,Rachael Langford,,,,,,,,,,
0154,Orphans '04: On Location: Place and Region in Forgotten Films,Friday,"March 26, 2004",11:00am - 12:45pm,Panel Presentation,Race & Space,"Rev. Harold Anderson's Films of Tulsa's Black Wall Street, 1948-52",,Jacqueline Stewart,,,,,,,,,,
0155,Orphans '04: On Location: Place and Region in Forgotten Films,Friday,"March 26, 2004",11:00am - 12:45pm,Panel Presentation,Race & Space,"Martin Luter King and the Albany Movement: Archival Newsfilm from WALB-TV, 1961-62",,Ruta Abolins ,Margaret A. Compton,,,,,,,,,
0156,Orphans '04: On Location: Place and Region in Forgotten Films,Friday,"March 26, 2004",11:00am - 12:45pm,Panel Presentation,Race & Space,,,Esther C.M. Yau,,,,,,,,,,
0157,Orphans '04: On Location: Place and Region in Forgotten Films,Friday,"March 26, 2004",2:15pm - 4:15 pm,Screening,The Fall of Jerusalem ,"Jewish Children Donate Toys to Jerusalem Orphans (Chicago, 1920)",,Colleen Simpson,,,,,,,,,,
0158,Orphans '04: On Location: Place and Region in Forgotten Films,Friday,"March 26, 2004",2:15pm - 4:15 pm,Screening,The Fall of Jerusalem ,"Bagdad, Turkey: The City of Bagdad (1924)",,Alan Stark,,,,,,,,,,
0159,Orphans '04: On Location: Place and Region in Forgotten Films,Friday,"March 26, 2004",2:15pm - 4:15 pm,Screening,The Fall of Jerusalem ,Cairo Street Scenes (1929),,Peter Eaves,,,,,,,,,,
0160,Orphans '04: On Location: Place and Region in Forgotten Films,Friday,"March 26, 2004",2:15pm - 4:15 pm,Screening,The Fall of Jerusalem ,Jerusalem Street Scenes (1929),,,,,,,,,,,,
0161,Orphans '04: On Location: Place and Region in Forgotten Films,Friday,"March 26, 2004",2:15pm - 4:15 pm,Screening,The Fall of Jerusalem ,The Fall of Jerusalem (191?/192?),,Karen Sheldon,Dennis James,,,,,,,,,
0162,Orphans '04: On Location: Place and Region in Forgotten Films,Friday,"March 26, 2004",2:15pm - 4:15 pm,Screening,The Fall of Jerusalem ,,,Julie Hubbert,,,,,,,,,,
0163,Orphans '04: On Location: Place and Region in Forgotten Films,Friday,"March 26, 2004",4:30pm - 5:30pm,Panel Presentation,The Strange Case of The Fall of Jerusalem,"State Rights, Orphans and Film Identification",,Jan-Christopher Horak,,,,,,,,,,
0164,Orphans '04: On Location: Place and Region in Forgotten Films,Friday,"March 26, 2004",4:30pm - 5:30pm,Panel,The Strange Case of The Fall of Jerusalem,,,Eileen Bowser,,,,,,,,,,
0165,Orphans '04: On Location: Place and Region in Forgotten Films,Friday,"March 26, 2004",4:30pm - 5:30pm,Panel,The Strange Case of The Fall of Jerusalem,,,Antonia Lant,,,,,,,,,,
0166,Orphans '04: On Location: Place and Region in Forgotten Films,Friday,"March 26, 2004",4:30pm - 5:30pm,Panel,The Strange Case of The Fall of Jerusalem,,,Charles Musser,,,,,,,,,,
0167,Orphans '04: On Location: Place and Region in Forgotten Films,Friday,"March 26, 2004",8:00 PM,Screening,Space Explorations,World's Youngest Acrobat (1929),,,,,,,,,,,,
0168,Orphans '04: On Location: Place and Region in Forgotten Films,Friday,"March 26, 2004",8:00 PM,Panel Presentation,Space Explorations,"Where to Place the Camera? 24 Biograph Films, 1986-1901",,Nico de Klerk,,,,,,,,,,
0169,Orphans '04: On Location: Place and Region in Forgotten Films,Friday,"March 26, 2004",8:00 PM,Screening,Space Explorations,Side/Walk/Shuttle (1991),,Ernie Gehr,,,,,,,,,,
0170,Orphans '04: On Location: Place and Region in Forgotten Films,Friday,"March 26, 2004",8:00 PM,Screening,Space Explorations,,,Scott Stark,,,,,,"Hotel Cartograph (1983, 16mm)","Under a Blanket of Blue (1996, Super 8mm)","SLOW (2001, mini-DV)",,
0171,Orphans '04: On Location: Place and Region in Forgotten Films,Friday,"March 26, 2004",8:00 PM,Screening,Space Explorations,,,Laura Kissel,,,,,,,,,,
0172,Orphans '04: On Location: Place and Region in Forgotten Films,Saturday,"March 27, 2004",9:00 am - 11:00am,Screening,Travel & Tourism,Javanese Dancers (1929),,Tanisha Jones,Colleen Simpson,,,,,,,,,Preserved by Technicolor Creative Services
0173,Orphans '04: On Location: Place and Region in Forgotten Films,Saturday,"March 27, 2004",9:00 am - 11:00am,Panel Presentation,Travel & Tourism,The Safari Adventure: Imagining Africa in Poular Travel Films,,Amy Staples,,,,,,,,,,
0174,Orphans '04: On Location: Place and Region in Forgotten Films,Saturday,"March 27, 2004",9:00 am - 11:00am,Panel Presentation,Travel & Tourism,Hardly Ever at Home: The Travel FIlms of Dr. Harold Lincoln Thompson,,Snowden Becker,,,,,,,,,,
0175,Orphans '04: On Location: Place and Region in Forgotten Films,Saturday,"March 27, 2004",9:00 am - 11:00am,Panel Presentation,Travel & Tourism,Domesticating the Desert: Western Ways Features,,Jennifer Lei Jenkins,,,,,,,,,,
0176,Orphans '04: On Location: Place and Region in Forgotten Films,Saturday,"March 27, 2004",9:00 am - 11:00am,Panel Presentation,Travel & Tourism,Mobile Home Movies: Amateur Cinematography and technologies of Transportation,,Devin Orgeron,,,,,,,,,,
0177,Orphans '04: On Location: Place and Region in Forgotten Films,Saturday,"March 27, 2004",9:00 am - 11:00am,Panel Presentation,Travel & Tourism,,,Jennifer Lynn Peterson,,,,,,,,,,
0178,Orphans '04: On Location: Place and Region in Forgotten Films,Saturday,"March 27, 2004",11:15am - 1:00pm,Screening,Home & Hometown,Mrs. Harding - Cameraman? (1922),,,,,,,,,,,,
0179,Orphans '04: On Location: Place and Region in Forgotten Films,Saturday,"March 27, 2004",11:15am - 1:00pm,Screening,Home & Hometown,Mrs. Cooldige Shooting President Coolidge (1928),,,,,,,,,,,,
0180,Orphans '04: On Location: Place and Region in Forgotten Films,Saturday,"March 27, 2004",11:15am - 1:00pm,Panel Presentation,Home & Hometown,"Charlie Silveus Makes a Quotidian Spectacle: Waynesburg, PA, 1914-1927",,Michael Aronson,,,,,,,,,,
0181,Orphans '04: On Location: Place and Region in Forgotten Films,Saturday,"March 27, 2004",11:15am - 1:00pm,Panel Presentation,Home & Hometown,Local Colour: The Emergence of Dufaycolor in East Anglia,,Simone Pyne,Louisa Trott,,,,,,,,,
0182,Orphans '04: On Location: Place and Region in Forgotten Films,Saturday,"March 27, 2004",11:15am - 1:00pm,Panel Presentation,Home & Hometown,Imagining that Place Called Home: Luring the Family Outside in Mid-Century Washington D.C.,,Marsha Orgeron,,,,,,,,,,
0183,Orphans '04: On Location: Place and Region in Forgotten Films,Saturday,"March 27, 2004",2:00pm - 3:45pm,Screening,Experimental Locations,Looney Lens (1924-27),,Cooper Graham,,,,,,,,,,
0184,Orphans '04: On Location: Place and Region in Forgotten Films,Saturday,"March 27, 2004",2:00pm - 3:45pm,Panel Presentation,Experimental Locations,The Theodore Huff Collection at George Eastman House,,Andrew Lampert ,,,,,,,,,,
0185,Orphans '04: On Location: Place and Region in Forgotten Films,Saturday,"March 27, 2004",2:00pm - 3:45pm,Panel Presentation,Experimental Locations,Joseph Cornell: Filmmaker & Armchair Traveler,,Jeanne Liotta,Bradley Eros,,,,,,,,,
0186,Orphans '04: On Location: Place and Region in Forgotten Films,Saturday,"March 27, 2004",2:00pm - 3:45pm,Panel Presentation,Experimental Locations,Woven FIlms,,Michele Smith,,,,,,,,,,
0187,Orphans '04: On Location: Place and Region in Forgotten Films,Saturday,"March 27, 2004",4:00pm - 5:45pm,Panel Presentation,The Archive On-Line: Practice & Theory,Digitizing 'Others': Putting the Human Studies Film Archive On-Line,,John Homiak,Jim Wehmeyer,,,,,,,,,
0188,Orphans '04: On Location: Place and Region in Forgotten Films,Saturday,"March 27, 2004",4:00pm - 5:45pm,Panel Presentation,The Archive On-Line: Practice & Theory,The InVisible Histories Project,,Patricia Zimmerman,,,,,,,,,,
0189,Orphans '04: On Location: Place and Region in Forgotten Films,Saturday,"March 27, 2004",4:00pm - 5:45pm,Panel Presentation,The Archive On-Line: Practice & Theory,Materiality: Where Digital Images Are,,Howard Besser,,,,,,,,,,
0190,Orphans '04: On Location: Place and Region in Forgotten Films,Saturday,"March 27, 2004",4:00pm - 5:45pm,Panel Presentation,The Archive On-Line: Practice & Theory,Ubiquity: The 'Media-Less' Archive,,James Linder,,,,,,,,,,
0191,Orphans '04: On Location: Place and Region in Forgotten Films,Saturday,"March 27, 2004",4:00pm - 5:45pm,Panel Presentation,The Archive On-Line: Practice & Theory,,,Karl Heider,,,,,,,,,,
0192,Orphans '04: On Location: Place and Region in Forgotten Films,Saturday,"March 27, 2004",8:30 PM,Screening,Wrap Party,Bill Morrion's The Mesmerist (2003),,,,,,,,,,,,
0193,Orphans '04: On Location: Place and Region in Forgotten Films,Saturday,"March 27, 2004",8:30 PM,Screening,Wrap Party,The Orgone Archive,,Greg Pierce,,,,,,,,,,
0194,Orphans '04: On Location: Place and Region in Forgotten Films,Saturday,"March 27, 2004",8:30 PM,Screening,Wrap Party,An Inventory of Pennsylvania Place,,,,,,,,,,,,
0195,Orphans '04: On Location: Place and Region in Forgotten Films,Saturday,"March 27, 2004",8:30 PM,Screening,Wrap Party,"Post Graduate Medicine, University of Pittsburgh Televised Grand Rounds 1963",,,,,,,,,,,,
0196,Orphans '04: On Location: Place and Region in Forgotten Films,Saturday,"March 27, 2004",8:30 PM,Screening,Wrap Party,"Hoime Inventory (Joseph D. Kramer, 1959)",,,,,,,,,,,,
0197,Orphans '04: On Location: Place and Region in Forgotten Films,Saturday,"March 27, 2004",8:30 PM,Screening,Wrap Party,Kitchen Seq (Herb Ferguson),,,,,,,,,,,,
0198,Orphans '04: On Location: Place and Region in Forgotten Films,Saturday,"March 27, 2004",8:30 PM,Screening,Wrap Party,"Autumn Leaves (Fred McLeod, 1960)",,,,,,,,,,,,
0199,"Orphans 5:  Science, Industry & Education",Wednesday,"March 22, 2006",8:00 PM,Screening,Phantomatic Technologies,Outerborough (2005),,Bill Morrison,,,,,,,,,,
0200,"Orphans 5:  Science, Industry & Education",Wednesday,"March 22, 2006",8:00 PM,Screening,Phantomatic Technologies,"Dr, Ives in Television (Movietone, 1928)",,Dan Streible,,,,,,,,,,
0201,"Orphans 5:  Science, Industry & Education",Wednesday,"March 22, 2006",8:00 PM,Screening,Phantomatic Technologies,"Scientists Invent New Musical Instrument (Movietone, 1930)",,Julie Hubbert,,,,,,,,,,
0202,"Orphans 5:  Science, Industry & Education",Wednesday,"March 22, 2006",8:00 PM,Screening,Phantomatic Technologies,Le Fantome de l'Operatrice (2005),,Caroline Martel,,,,,,,,,,
0203,"Orphans 5:  Science, Industry & Education",Thursday,"March 22, 2006",9:00 AM,Introductions,Dan Streible,,,,,,,,,,,,,
0204,"Orphans 5:  Science, Industry & Education",Thursday,"March 23, 2006",9:15am - 11:00am,Panel Presentation,Scientific Imaging,"Demonstrating Science, Producing Magic: Scientific Oddities as Visual Entertainment, from the 17th Century to Early Cinema",,Tom Gunning,,,,,,,,,,
0205,"Orphans 5:  Science, Industry & Education",Thursday,"March 23, 2006",9:15am - 11:00am,Panel Presentation,Scientific Imaging,On Magnification,,Scott Curtis,,,,,,,,,,
0206,"Orphans 5:  Science, Industry & Education",Thursday,"March 23, 2006",9:15am - 11:00am,Panel Presentation,Scientific Imaging,A History of Violence: Recurring Motifs in Popular Science Films,,Oliver Gaycken,,,,,,,,,,
0207,"Orphans 5:  Science, Industry & Education",Thursday,"March 23, 2006",9:15am - 11:00am,Panel Presentation,Scientific Imaging,Moving Image Simulations of ther Nanoscale,,Davis Baird,,,,,,,,,,
0208,"Orphans 5:  Science, Industry & Education",Thursday,"March 23, 2006",11:15am - 1:00pm,Panel Presentation,The Nature of Film,Beasts Fair and Foul: Locating Wildlife in Early Nature Films,,Jennifer Lynn Peterson,,,,,,,,,,
0209,"Orphans 5:  Science, Industry & Education",Thursday,"March 23, 2006",11:15am - 1:00pm,Panel Presentation,The Nature of Film,"Time is Invention': Jean Comandon's Time-Lapse Cinematography, Bergsonian History, and Early French Film Theory",,Paula Amad,,,,,,,,,,
0210,"Orphans 5:  Science, Industry & Education",Thursday,"March 23, 2006",11:15am - 1:00pm,Panel Presentation,The Nature of Film,Unbelievable Nature': Time-Lapse Cinema of John Ott,,Janelle Blankenship,,,,,,,,,,
0211,"Orphans 5:  Science, Industry & Education",Thursday,"March 23, 2006",11:15am - 1:00pm,Screening,The Nature of Film,"Chumming with Chipmunks (Goldwyn-Bray Pictograph, 1921) accompanied by the Assembly Street Quartet",, ,,,,,,,,,,
0212,"Orphans 5:  Science, Industry & Education",Thursday,"March 23, 2006",2:15pm - 3:45pm,Panel Presentation,Early TV Science,Television Picyures (Movietonem 1931),,Paula Felix-Didier,,,,,,,,,,
0213,"Orphans 5:  Science, Industry & Education",Thursday,"March 23, 2006",2:15pm - 3:45pm,Panel Presentation,Early TV Science,"Adventures (1953-56, CBS)",,Elaine Charnov,,,,,,,,,,
0214,"Orphans 5:  Science, Industry & Education",Thursday,"March 23, 2006",2:15pm - 3:45pm,Panel Presentation,Early TV Science,"Science in Action (CAS, 1952-66): Spectral Uses of Kinescopy",,Craign Baldwin,,,,,,,,,,
0215,"Orphans 5:  Science, Industry & Education",Thursday,"March 23, 2006",4:00pm - 5:30pm,Panel Presentation,Missionary Science,Somethign Different in Sciecne Films': The Moody Institute of Science and the Canned Missionary Movement,,Skip Elsheimer,Marsha Orgeron,,,,,"Fish Out of Water! (1954, MIS Educational Film Division)", ,,,
0216,"Orphans 5:  Science, Industry & Education",Thursday,"March 23, 2006",4:00pm - 5:30pm,Panel Presentation,Missionary Science,Spreading the Word: The Science of Contagion in Ecgar G. Ulmer's T.B. Films,,Devin Orgeron,,,,,,"They Do COme Back (1940, Nation Tuberculosis Association)", ,,,
0217,"Orphans 5:  Science, Industry & Education",Thursday,"March 23, 2006",8:00pm - 10:45pm,Screening,Film Is,Bits and Pieces Nr. 1-11 (Nederlands Filmmuseum),,Nico de Klerk,,,,,,,,,,
0218,"Orphans 5:  Science, Industry & Education",Thursday,"March 23, 2006",8:00pm - 10:45pm,Screening,Film Is,Film ist. (1998-2003) and Welt Spiegel Kino (2005),,Gustav Deutsch,,,,,,,,,,
0219,"Orphans 5:  Science, Industry & Education",Friday,"March 24, 2006",9:00am - 10:30am,Panel Presentation,Restoring the FIlms and Legacy of Julien Bryan,"As for me, I believe in people': Peopls of the Soviet Union (1935), Poland and Japan",,Raye Farr,,,,,,,,,,
0220,"Orphans 5:  Science, Industry & Education",Friday,"March 24, 2006",9:00am - 10:30am,Panel Presentation,Restoring the FIlms and Legacy of Julien Bryan,Restoring Degraded Nitrate,,Russ Suniewick,,,,,,,,,,
0221,"Orphans 5:  Science, Industry & Education",Friday,"March 24, 2006",9:00am - 10:30am,Panel Presentation,Restoring the FIlms and Legacy of Julien Bryan,"The Search for Siege (RKO, 1940)",,Regina Longo,,,,,,,,,,
0222,"Orphans 5:  Science, Industry & Education",Friday,"March 24, 2006",9:00am - 10:30am,Panel Presentation,Restoring the FIlms and Legacy of Julien Bryan,,,Sam Bryan,,,,,,,,,,
0223,"Orphans 5:  Science, Industry & Education",Friday,"March 24, 2006",10:45am - 12:15 pm ,Panel ,Newsreel as Wartime Industry,Cooperative Preservation of the Movietone Newsreel Collection,,Mike Mashon,Cooper Graham,George Willeman,Greg Wilsbacher,Phu Nguyen,Jennifer Snyder,Pearl Harbor Attack: Now it Can be Shown (1942),Fulbright Committee to Visit London (1944), ,,
0224,"Orphans 5:  Science, Industry & Education",Friday,"March 24, 2006",1:30pm - 3:00pm,Panel Presentation,In Other News...,The Eye Beholds: The Bureau of Commerical Economics as Film Distributor,,Sean Savage,,,,,,Madison News Reel (c. 1930) from Northeast Historic Film,,,,
0225,"Orphans 5:  Science, Industry & Education",Friday,"March 24, 2006",1:30pm - 3:00pm,Panel Presentation,In Other News...,Educating the Race: INequality and Pedagogy in the Films of All-American News,,Joe Clark,,,,,,,,,,
0226,"Orphans 5:  Science, Industry & Education",Friday,"March 24, 2006",1:30pm - 3:00pm,Panel Presentation,In Other News...,"Sam Orleans Will Go Anywhere, Film Anything'",,Bradley Reeves,Louisa Trott,,,,,"Today's News, Tomorrow's Men (1946)",,,,Preseved by Colorlab
0227,"Orphans 5:  Science, Industry & Education",Friday,"March 24, 2006",3:30pm - 5:15pm,Screening,"Industrial, Institutional, & Sponsored Films: A Field Guide","The [Your name Here] Story (c.1960, the Calvin Workshop)",, ,,,,,,,,,,A National Film Preservation Foundation project with a grant from the Andrew W. Mellon Foundation
0228,"Orphans 5:  Science, Industry & Education",Friday,"March 24, 2006",3:30pm - 5:15pm,Panel Presentation,"Industrial, Institutional, & Sponsored Films: A Field Guide",The Research Value of SPonsored Films,,Don Crafton,,,,,,,,,,
0229,"Orphans 5:  Science, Industry & Education",Friday,"March 24, 2006",3:30pm - 5:15pm,Panel Presentation,"Industrial, Institutional, & Sponsored Films: A Field Guide",Industrial Films in Multiformat Collections,,Wendy Shay,,,,,,,,,,
0230,"Orphans 5:  Science, Industry & Education",Friday,"March 24, 2006",3:30pm - 5:15pm,Panel Presentation,"Industrial, Institutional, & Sponsored Films: A Field Guide",An Illustrated Overview of the Sponsored Film,,Rick Prelinger,,,,,,,,,,
0231,"Orphans 5:  Science, Industry & Education",Friday,"March 24, 2006",3:30pm - 5:15pm,Panel,"Industrial, Institutional, & Sponsored Films: A Field Guide", ,,Jennifer Horne,,,,,,,,,,
0232,"Orphans 5:  Science, Industry & Education",Friday,"March 24, 2006",3:30pm - 5:15pm,Panel,"Industrial, Institutional, & Sponsored Films: A Field Guide", ,,Gregory A. Waller ,,,,,,,,,,
0233,"Orphans 5:  Science, Industry & Education",Friday,"March 24, 2006",8:00pm - 10:45pm,Screening,"Rick Prelinger presents an evening of Industrial, Institutional & Sponsored Films","An American in the Making (1913, Thanhouser)",,Scott Simmon,,,,,,,,,,"by Carl L. Gregory, for U.S. Steel Corp.; piano accompaniment by Neil Lerner"
0234,"Orphans 5:  Science, Industry & Education",Friday,"March 24, 2006",8:00pm - 10:45pm,Screening,"Rick Prelinger presents an evening of Industrial, Institutional & Sponsored Films",Eyes of Science (1930),,Jan-Christopher Horak,,,,,,,,,,"The George eastman House restoration. By Dr. James Sibley Watson, Jr., for Bausch & Lomb Optical CO."
0235,"Orphans 5:  Science, Industry & Education",Friday,"March 24, 2006",8:00pm - 10:45pm,Screening,"Rick Prelinger presents an evening of Industrial, Institutional & Sponsored Films",Master Hands (1936),,Alan Stark,Tom Regal,,,,,,,,,"by the Jam Handy Organization, for Chevrolet Motor Co.  "
0236,"Orphans 5:  Science, Industry & Education",Friday,"March 24, 2006",8:00pm - 10:45pm,Screening,"Rick Prelinger presents an evening of Industrial, Institutional & Sponsored Films",Booked for Safekeeping (1960),,Georger Stoney,,,,,,,,,,"by George Stoney, for the Lousiana Association for Mental Health"
0237,"Orphans 5:  Science, Industry & Education",Saturday,"March 25, 2006",9:00am - 9:30am,Panel Presentation,Caroliniana Curricula & Curiosa,"on How the Professor Fooled the Burglars (Edison, 1900)",,Charles Musser,,,,,,,,,,
0238,"Orphans 5:  Science, Industry & Education",Saturday,"March 25, 2006",9:00am - 9:30am,Panel Presentation,Caroliniana Curricula & Curiosa,"on John Dewey's home movies (1939) and Dewey on Education (Movietone, 1929)",,Craig Kridel,,,,,,,,,,
0239,"Orphans 5:  Science, Industry & Education",Saturday,"March 25, 2006",9:00am - 9:30am,Panel Presentation,Caroliniana Curricula & Curiosa,talks about Ro-Revus Talks About Worms (1971),,Skip Elsheimer,,,,,,,,,,
